"Period","Outward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FDI to GDP","Mean_of_Ratio"
"Q2 2009",951491,-9.05023265772741,8.26955646274341,938048.333333333,13442.6666666666,106064.917613636,803182.625,148308.375,274790.729403409,1548488,0.614464561559405,0.648888127821373
"Q3 2009",961958,20.4271972037637,8.26955646274341,947832.583333333,14125.4166666666,106064.917613636,814004.75,147953.25,274790.729403409,1567924,0.61352335955059,0.648888127821373
"Q4 2009",979409,16.9160191619225,8.26955646274341,950249.166666667,29159.8333333334,106064.917613636,823520.5,155888.5,274790.729403409,1611692,0.607689930830456,0.648888127821373
"Q1 2010",926283,7.3067967238563,8.26955646274341,945484.333333333,-19201.3333333334,106064.917613636,831118.8125,95164.1875,274790.729403409,1644032,0.563421514909686,0.648888127821373
"Q2 2010",908697,-4.49757275686265,8.26955646274341,938185.25,-29488.25,106064.917613636,839924.875,68772.125,274790.729403409,1653240,0.5496461493794,0.648888127821373
"Q3 2010",984839,2.37858617528,8.26955646274341,938761.833333333,46077.1666666666,106064.917613636,851507.96875,133331.03125,274790.729403409,1665372,0.591362770600202,0.648888127821373
"Q4 2010",1046178,6.8172744992133,8.26955646274341,944473.75,101704.25,106064.917613636,864448.625,181729.375,274790.729403409,1701548,0.614838958407286,0.648888127821373
"Q1 2011",1074075,15.9553829661129,8.26955646274341,948233.583333333,125841.416666667,106064.917613636,879749.53125,194325.46875,274790.729403409,1737952,0.618011889856567,0.648888127821373
"Q2 2011",992883,9.26447429671277,8.26955646274341,943792.833333333,49090.1666666666,106064.917613636,891818.21875,101064.78125,274790.729403409,1759852,0.564185511054339,0.648888127821373
"Q3 2011",925390,-6.03641813535004,8.26955646274341,954343,-28953,106064.917613636,901020.46875,24369.53125,274790.729403409,1785748,0.518208616221326,0.648888127821373
"Q4 2011",947762,-9.40719456918421,8.26955646274341,963514.583333333,-15752.5833333334,106064.917613636,909264.875,38497.125,274790.729403409,1812700,0.522845479119545,0.648888127821373
"Q1 2012",999954,-6.90091474059074,8.26955646274341,974909.916666667,25044.0833333334,106064.917613636,917991.75,81962.25,274790.729403409,1815120,0.550902419674732,0.648888127821373
"Q2 2012",949746,-4.34462066527476,8.26955646274341,974764.5,-25018.5,106064.917613636,924035.09375,25710.90625,274790.729403409,1818984,0.522129936272117,0.648888127821373
