"Period","Outward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q3 2012",149744,24.8897006697192,9.25296465052967,117244.5,32499.5,16670.2196969697,89403.75,60340.25,40726.3852982955,1830636,0.081798893936315,0.0720828224872548
"Q4 2012",143709,18.1428806313713,9.25296465052967,120934.166666667,22774.8333333333,16670.2196969697,92370.03125,51338.96875,40726.3852982955,1844064,0.0779305924306315,0.0720828224872548
"Q1 2013",146656,16.8564393909212,9.25296465052967,123830,22826,16670.2196969697,95315.46875,51340.53125,40726.3852982955,1876844,0.078139685557244,0.0720828224872548
"Q2 2013",141568,6.34775161886447,9.25296465052967,126556.583333333,15011.4166666667,16670.2196969697,98165.6875,43402.3125,40726.3852982955,1886592,0.0750390121446503,0.0720828224872548
"Q3 2013",143208,-4.36478256223956,9.25296465052967,129673.333333333,13534.6666666667,16670.2196969697,101111.78125,42096.21875,40726.3852982955,1912428,0.0748828191178962,0.0720828224872548
"Q4 2013",147003,2.29213201678392,9.25296465052967,132815,14188,16670.2196969697,104293.5625,42709.4375,40726.3852982955,1933124,0.0760442682414579,0.0720828224872548
"Q1 2014",149395,1.86763582806022,9.25296465052967,136252.416666667,13142.5833333333,16670.2196969697,107058.3125,42336.6875,40726.3852982955,1963452,0.0760879308483222,0.0720828224872548
"Q2 2014",157520,11.2680831826401,9.25296465052967,139913.583333333,17606.4166666667,16670.2196969697,109972.4375,47547.5625,40726.3852982955,1988404,0.0792193135801376,0.0720828224872548
"Q3 2014",169797,18.5667001843472,9.25296465052967,144071.583333333,25725.4166666667,16670.2196969697,113066.90625,56730.09375,40726.3852982955,2013792,0.0843170496257806,0.0720828224872548
"Q4 2014",191922,30.5565192547091,9.25296465052967,149928.416666667,41993.5833333333,16670.2196969697,116818.03125,75103.96875,40726.3852982955,2013944,0.0952965921594642,0.0720828224872548
"Q1 2015",219708,47.0651628233877,9.25296465052967,157779,61929,16670.2196969697,121238.78125,98469.21875,40726.3852982955,1984300,0.110723176938971,0.0720828224872548
"Q2 2015",217619,38.153250380904,9.25296465052967,164820.75,52798.25,16670.2196969697,125729.53125,91889.46875,40726.3852982955,1984920,0.109636156620922,0.0720828224872548
"Q3 2015",240304,41.5242907707439,9.25296465052967,172367.416666667,67936.5833333333,16670.2196969697,130791.125,109512.875,40726.3852982955,2000864,0.120100116749564,0.0720828224872548
"Q4 2015",244907,27.6075697418743,9.25296465052967,180800.583333333,64106.4166666667,16670.2196969697,136044.59375,108862.40625,40726.3852982955,1991680,0.122965034543702,0.0720828224872548
"Q1 2016",249881,13.7332277386349,9.25296465052967,189402.666666667,60478.3333333333,16670.2196969697,141166.875,108714.125,40726.3852982955,1998420,0.125039281032015,0.0720828224872548
"Q2 2016",251824,15.7178371373823,9.25296465052967,198590.666666667,53233.3333333333,16670.2196969697,146306.84375,105517.15625,40726.3852982955,2002152,0.125776664309203,0.0720828224872548
"Q3 2016",251553,4.68115387176243,9.25296465052967,207619.416666667,43933.5833333333,16670.2196969697,151616.375,99936.625,40726.3852982955,2035420,0.123587760756994,0.0720828224872548
"Q4 2016",247997,1.26170342211533,9.25296465052967,216035.583333333,31961.4166666667,16670.2196969697,156449.03125,91547.96875,40726.3852982955,2066148,0.120028671711804,0.0720828224872548
"Q1 2017",260548,4.26883196401487,9.25296465052967,225298.333333333,35249.6666666667,16670.2196969697,161673.84375,98874.15625,40726.3852982955,2107708,0.123616743875338,0.0720828224872548
"Q2 2017",248172,-1.45021920071161,9.25296465052967,232852.666666667,15319.3333333333,16670.2196969697,166460.0625,81711.9375,40726.3852982955,2130892,0.11646390337943,0.0720828224872548
"Q3 2017",239787,-4.67734433697869,9.25296465052967,238685.166666667,1101.83333333334,16670.2196969697,170937.875,68849.125,40726.3852982955,2143864,0.111848046331297,0.0720828224872548
"Q4 2017",260073,4.86941374290818,9.25296465052967,244364.416666667,15708.5833333333,16670.2196969697,175957.875,84115.125,40726.3852982955,2181964,0.119192158990707,0.0720828224872548
"Q1 2018",283912,8.96725363464697,9.25296465052967,249714.75,34197.25,16670.2196969697,181333.0625,102578.9375,40726.3852982955,2202260,0.128918474657851,0.0720828224872548
"Q2 2018",291090,17.2936511774092,9.25296465052967,255837.333333333,35252.6666666667,16670.2196969697,187028.09375,104061.90625,40726.3852982955,2219616,0.131144306042126,0.0720828224872548
"Q3 2018",289110,20.5695054360745,9.25296465052967,259904.5,29205.5,16670.2196969697,192756.3125,96353.6875,40726.3852982955,2244092,0.128831616529091,0.0720828224872548
"Q4 2018",327655,25.9857809153584,9.25296465052967,266800.166666667,60854.8333333333,16670.2196969697,199579.8125,128075.1875,40726.3852982955,2229456,0.146966345153257,0.0720828224872548
"Q1 2019",318654,12.2368903040379,9.25296465052967,272531.25,46122.75,16670.2196969697,206158.1875,112495.8125,40726.3852982955,2260360,0.140974888955742,0.0720828224872548
"Q2 2019",329800,13.2982926242743,9.25296465052967,279029.25,50770.75,16670.2196969697,212914.875,116885.125,40726.3852982955,2305088,0.14307479801205,0.0720828224872548
"Q3 2019",347427,20.1712151084362,9.25296465052967,287018.75,60408.25,16670.2196969697,220025.0625,127401.9375,40726.3852982955,2312284,0.150252737120527,0.0720828224872548
"Q4 2019",354322,8.1387434954449,9.25296465052967,295879.166666667,58442.8333333333,16670.2196969697,227296.375,127025.625,40726.3852982955,2337684,0.151569673232139,0.0720828224872548
