"Period","Public NFCs Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs Debt Securities to GDP","Mean_of_Ratio"
"Q3 2006",4800,17.6932130247156,12.7902820845302,4199.75833333333,600.241666666667,699.244696969697,3097.63125,1702.36875,1770.32425426136,1504936,0.003189504404174,0.00424358207152447
"Q4 2006",7447.2,63.1083271277761,12.7902820845302,4490.10833333333,2957.09166666667,699.244696969697,3285.334375,4161.865625,1770.32425426136,1514764,0.00491640942087348,0.00424358207152447
"Q1 2007",5918.9,27.4800775360758,12.7902820845302,4640.69166666667,1278.20833333333,699.244696969697,3422.225,2496.675,1770.32425426136,1547276,0.00382536793694208,0.00424358207152447
"Q2 2007",5936.7,25.6923272357724,12.7902820845302,4814.84166666667,1121.85833333333,699.244696969697,3550.778125,2385.921875,1770.32425426136,1576612,0.00376547939505725,0.00424358207152447
"Q3 2007",8414.8,75.3083333333333,12.7902820845302,5177.48333333333,3237.31666666667,699.244696969697,3754.00625,4660.79375,1770.32425426136,1582248,0.00531825605088456,0.00424358207152447
"Q4 2007",10821.1,45.3042754323773,12.7902820845302,5762.96666666667,5058.13333333333,699.244696969697,4029.590625,6791.509375,1770.32425426136,1604508,0.00674418575663069,0.00424358207152447
"Q1 2008",10011.7,69.1479835780297,12.7902820845302,6270.1,3741.6,699.244696969697,4279.628125,5732.071875,1770.32425426136,1637296,0.00611477704703365,0.00424358207152447
"Q2 2008",10934.6,84.1865009180184,12.7902820845302,6857.95,4076.65,699.244696969697,4556.8125,6377.7875,1770.32425426136,1677448,0.00651859252865067,0.00424358207152447
"Q3 2008",11044,31.2449493749109,12.7902820845302,7438.41666666667,3605.58333333333,699.244696969697,4842.721875,6201.278125,1770.32425426136,1694512,0.00651751064613293,0.00424358207152447
"Q4 2008",9848.1,-8.99169215698958,12.7902820845302,7878.60833333333,1969.49166666667,699.244696969697,5080.86875,4767.23125,1770.32425426136,1618908,0.00608317458434945,0.00424358207152447
