"Period","TSX 243 Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Common Equity","Ratio: TSX 243 Net Income to Common Equity","Mean_of_Ratio"
"Q3 2012",79806590,-13.3888669605486,20.3661305141964,74077605.8333333,5728984.16666667,7295855.81570513,68569813.125,11236776.875,15629002.3737981,749176100,0.106525808818514,0.115057566971936
"Q4 2012",80144340,-14.9555068633047,20.3661305141964,77629652.5,2514687.5,7295855.81570513,69695468.125,10448871.875,15629002.3737981,765801200,0.104654236634782,0.115057566971936
"Q1 2013",83718750,-1.41277879980395,20.3661305141964,80140619.1666667,3578130.83333333,7295855.81570513,70796942.5,12921807.5,15629002.3737981,778917900,0.107480839765012,0.115057566971936
"Q2 2013",79782240,-11.450765988193,20.3661305141964,81490850.8333333,-1708610.83333333,7295855.81570513,71716153.125,8066086.875,15629002.3737981,796091100,0.100217475110575,0.115057566971936
"Q3 2013",70142430,-12.1094761723311,20.3661305141964,82000153.3333333,-11857723.3333333,7295855.81570513,72245184.6875,-2102754.6875,15629002.3737981,810698800,0.0865209495807814,0.115057566971936
"Q4 2013",69667730,-13.0721770246034,20.3661305141964,81767065.8333333,-12099335.8333333,7295855.81570513,72776995.625,-3109265.625,15629002.3737981,822203400,0.0847329626707941,0.115057566971936
"Q1 2014",65179230,-22.1450033594625,20.3661305141964,80731632.5,-15552402.5,7295855.81570513,73053715.625,-7874485.625,15629002.3737981,841900800,0.0774191329904901,0.115057566971936
"Q2 2014",67375150,-15.5511928469293,20.3661305141964,79767993.3333333,-12392843.3333333,7295855.81570513,73191264.0625,-5816114.0625,15629002.3737981,876503000,0.076868133936792,0.115057566971936
"Q3 2014",88384060,26.0065555185356,20.3661305141964,79454700.8333333,8929359.16666667,7295855.81570513,73751971.875,14632088.125,15629002.3737981,894572800,0.0988002988689126,0.115057566971936
"Q4 2014",95064300,36.4538502976916,20.3661305141964,79523548.3333333,15540751.6666667,7295855.81570513,74302732.8125,20761567.1875,15629002.3737981,924151800,0.102866542055104,0.115057566971936
