"Period","Banks Non-Residential Mortgages","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Non-Residential Mortgages to GDP","Mean_of_Ratio"
"Q2 1999",13964,-3.27630394126203,7.14435237256936,13766.0833333333,197.916666666666,3273.64903846154,12892.75,1071.25,8363.43930288462,994172,0.0140458592678128,0.0195175107541062
"Q3 1999",13985,-3.09728381374723,7.14435237256936,13856.25,128.75,3273.64903846154,13071.28125,913.71875,8363.43930288462,1021308,0.0136932247666718,0.0195175107541062
"Q4 1999",14033,-0.340884880335203,7.14435237256936,13960.25,72.75,3273.64903846154,13235.375,797.625,8363.43930288462,1040988,0.0134804627911177,0.0195175107541062
"Q1 2000",15587,11.0659826136526,7.14435237256936,14175.8333333333,1411.16666666667,3273.64903846154,13433.90625,2153.09375,8363.43930288462,1070188,0.0145647306828333,0.0195175107541062
"Q2 2000",15733,12.6682898882842,7.14435237256936,14398.25,1334.75,3273.64903846154,13627.78125,2105.21875,8363.43930288462,1099448,0.0143099082448647,0.0195175107541062
"Q3 2000",15811,13.05684662138,7.14435237256936,14542.5,1268.5,3273.64903846154,13823.3125,1987.6875,8363.43930288462,1121768,0.0140947147716818,0.0195175107541062
"Q4 2000",15914,13.4041188626808,7.14435237256936,14685.8333333333,1228.16666666667,3273.64903846154,14010.21875,1903.78125,8363.43930288462,1132880,0.0140473836593461,0.0195175107541062
"Q1 2001",15625,0.243792904343363,7.14435237256936,14803,822,3273.64903846154,14118.1875,1506.8125,8363.43930288462,1149924,0.0135878545016888,0.0195175107541062
"Q2 2001",15597,-0.864425093751986,7.14435237256936,14899.6666666667,697.333333333334,3273.64903846154,14223.6875,1373.3125,8363.43930288462,1152860,0.0135289627535,0.0195175107541062
"Q3 2001",15370,-2.78919739421921,7.14435237256936,14977.8333333333,392.166666666666,3273.64903846154,14259.09375,1110.90625,8363.43930288462,1138804,0.0134966157477494,0.0195175107541062
"Q4 2001",15915,0.00628377529219555,7.14435237256936,15130.6666666667,784.333333333334,3273.64903846154,14317.03125,1597.96875,8363.43930288462,1136584,0.014002484638179,0.0195175107541062
"Q1 2002",16128,3.2192,7.14435237256936,15305.1666666667,822.833333333334,3273.64903846154,14383.875,1744.125,8363.43930288462,1158640,0.0139197680038666,0.0195175107541062
"Q2 2002",16417,5.25742129896775,7.14435237256936,15509.5833333333,907.416666666666,3273.64903846154,14424.84375,1992.15625,8363.43930288462,1185892,0.0138435877803375,0.0195175107541062
"Q3 2002",16730,8.8484059856864,7.14435237256936,15738.3333333333,991.666666666666,3273.64903846154,14492.96875,2237.03125,8363.43930288462,1204144,0.0138936871337647,0.0195175107541062
"Q4 2002",16729,5.11467169337103,7.14435237256936,15963,766,3273.64903846154,14573.59375,2155.40625,8363.43930288462,1226100,0.0136440747084251,0.0195175107541062
"Q1 2003",16993,5.36334325396825,7.14435237256936,16080.1666666667,912.833333333334,3273.64903846154,14662.1875,2330.8125,8363.43930288462,1250088,0.0135934430216113,0.0195175107541062
"Q2 2003",17175,4.61716513370287,7.14435237256936,16200.3333333333,974.666666666666,3273.64903846154,14756.09375,2418.90625,8363.43930288462,1237720,0.0138763209772808,0.0195175107541062
"Q3 2003",17816,6.49133293484758,7.14435237256936,16367.4166666667,1448.58333333333,3273.64903846154,14874.5,2941.5,8363.43930288462,1258296,0.0141588306725921,0.0195175107541062
"Q4 2003",18906,13.0133301452567,7.14435237256936,16616.75,2289.25,3273.64903846154,15048.9375,3857.0625,8363.43930288462,1272884,0.0148528852589867,0.0195175107541062
"Q1 2004",19143,12.6522685811805,7.14435237256936,16909.9166666667,2233.08333333333,3273.64903846154,15236.1875,3906.8125,8363.43930288462,1296216,0.0147683719380103,0.0195175107541062
"Q2 2004",19415,13.0422125181951,7.14435237256936,17228.0833333333,2186.91666666667,3273.64903846154,15444.21875,3970.78125,8363.43930288462,1328148,0.0146180997900836,0.0195175107541062
"Q3 2004",20323,14.0716210148181,7.14435237256936,17640.8333333333,2682.16666666667,3273.64903846154,15676.09375,4646.90625,8363.43930288462,1351480,0.0150375884215823,0.0195175107541062
"Q4 2004",19946,5.50089918544377,7.14435237256936,17976.75,1969.25,3273.64903846154,15899.875,4046.125,8363.43930288462,1367080,0.0145902214939872,0.0195175107541062
"Q1 2005",20637,7.8044193700047,7.14435237256936,18352.5,2284.5,3273.64903846154,16138.53125,4498.46875,8363.43930288462,1380324,0.0149508376294261,0.0195175107541062
"Q2 2005",20764,6.94823590007726,7.14435237256936,18714.75,2049.25,3273.64903846154,16379.15625,4384.84375,8363.43930288462,1399608,0.0148355825345382,0.0195175107541062
"Q3 2005",21994,8.22221128770359,7.14435237256936,19153.4166666667,2840.58333333333,3273.64903846154,16626.46875,5367.53125,8363.43930288462,1436992,0.0153055827729034,0.0195175107541062
"Q4 2005",21594,8.26230823222701,7.14435237256936,19558.8333333333,2035.16666666667,3273.64903846154,16857.71875,4736.28125,8363.43930288462,1469436,0.0146954341665782,0.0195175107541062
"Q1 2006",22004,6.62402480980763,7.14435237256936,19976.4166666667,2027.58333333333,3273.64903846154,17101,4903,8363.43930288462,1476000,0.0149078590785908,0.0195175107541062
"Q2 2006",22240,7.108456944712,7.14435237256936,20398.5,1841.5,3273.64903846154,17344.84375,4895.15625,8363.43930288462,1490716,0.0149190053638654,0.0195175107541062
"Q3 2006",22263,1.22306083477312,7.14435237256936,20769.0833333333,1493.91666666667,3273.64903846154,17589.5625,4673.4375,8363.43930288462,1504936,0.0147933201146095,0.0195175107541062
"Q4 2006",22158,2.61183662128369,7.14435237256936,21040.0833333333,1117.91666666667,3273.64903846154,17841.96875,4316.03125,8363.43930288462,1514764,0.0146280212627182,0.0195175107541062
"Q1 2007",23247,5.64897291401563,7.14435237256936,21382.0833333333,1864.91666666667,3273.64903846154,18129.875,5117.125,8363.43930288462,1547276,0.0150244688084091,0.0195175107541062
"Q2 2007",23895,7.44154676258993,7.14435237256936,21755.4166666667,2139.58333333333,3273.64903846154,18440.21875,5454.78125,8363.43930288462,1576612,0.0151559166110622,0.0195175107541062
"Q3 2007",23919,7.43835062660019,7.14435237256936,22055.0833333333,1863.91666666667,3273.64903846154,18750.65625,5168.34375,8363.43930288462,1582248,0.0151170992157993,0.0195175107541062
"Q4 2007",25217,13.8053975990613,7.14435237256936,22494.3333333333,2722.66666666667,3273.64903846154,19100.15625,6116.84375,8363.43930288462,1604508,0.0157163442002159,0.0195175107541062
"Q1 2008",26847,15.4858691444057,7.14435237256936,23011.8333333333,3835.16666666667,3273.64903846154,19452.03125,7394.96875,8363.43930288462,1637296,0.0163971572641721,0.0195175107541062
"Q2 2008",27501,15.0910232266164,7.14435237256936,23573.25,3927.75,3273.64903846154,19819.78125,7681.21875,8363.43930288462,1677448,0.0163945469546597,0.0195175107541062
"Q3 2008",28397,18.7215184581295,7.14435237256936,24106.8333333333,4290.16666666667,3273.64903846154,20213.09375,8183.90625,8363.43930288462,1694512,0.016758217115016,0.0195175107541062
