"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q4 1985",219948,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,514788,NA,0.559288545922521
"Q1 1986",222244,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,518612,NA,0.559288545922521
"Q2 1986",230075,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,523844,NA,0.559288545922521
"Q3 1986",236110,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,530220,NA,0.559288545922521
"Q4 1986",244868,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,533844,NA,0.559288545922521
"Q1 1987",254413,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,552484,NA,0.559288545922521
"Q2 1987",260581,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,567420,NA,0.559288545922521
"Q3 1987",266095,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,581680,NA,0.559288545922521
"Q4 1987",265919,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,595760,NA,0.559288545922521
"Q1 1988",272413,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,610948,NA,0.559288545922521
"Q2 1988",281543,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,621168,NA,0.559288545922521
"Q3 1988",291440,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,631392,NA,0.559288545922521
"Q4 1988",300376,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,644068,NA,0.559288545922521
"Q1 1989",309219,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,656160,NA,0.559288545922521
"Q2 1989",320689,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,669792,NA,0.559288545922521
"Q3 1989",331421,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,679132,NA,0.559288545922521
"Q4 1989",342158,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,681232,NA,0.559288545922521
"Q1 1990",352152,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,691928,NA,0.559288545922521
"Q2 1990",356279,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,695624,NA,0.559288545922521
"Q3 1990",363225,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,697684,NA,0.559288545922521
"Q4 1990",370573,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,696768,NA,0.559288545922521
"Q1 1991",378484,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,694008,NA,0.559288545922521
"Q2 1991",381438,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,701572,NA,0.559288545922521
"Q3 1991",385573,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,704796,NA,0.559288545922521
