"Period","Total Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Consumer Credit to GDP","Mean_of_Ratio"
"Q2 2011",489484,3.45349407368581,7.17037537819394,458575.166666667,30908.8333333333,27522.9975961538,373884.90625,115599.09375,72930.0709134615,953648,0.513275338489673,0.413713349622429
"Q3 2011",493883,3.08385583208796,7.17037537819394,464906,28977,27522.9975961538,381632.25,112250.75,72930.0709134615,962860,0.512933344411441,0.413713349622429
"Q4 2011",498394,2.81528302392795,7.17037537819394,471144.083333333,27249.9166666667,27522.9975961538,389407.625,108986.375,72930.0709134615,981496,0.507790148915533,0.413713349622429
"Q1 2012",496158,2.06891160478995,7.17037537819394,476840.083333333,19317.9166666667,27522.9975961538,396874.1875,99283.8125,72930.0709134615,989444,0.501451320135349,0.413713349622429
"Q2 2012",502231,2.60417092284937,7.17037537819394,482073.333333333,20157.6666666667,27522.9975961538,404202.0625,98028.9375,72930.0709134615,994088,0.505217847916885,0.413713349622429
"Q3 2012",509176,3.09648236525655,7.17037537819394,486914.833333333,22261.1666666667,27522.9975961538,411531.21875,97644.78125,72930.0709134615,1006960,0.505656629856201,0.413713349622429
"Q4 2012",512293,2.78875748905484,7.17037537819394,491007.583333333,21285.4166666667,27522.9975961538,418681.40625,93611.59375,72930.0709134615,1014516,0.504962957705941,0.413713349622429
"Q1 2013",508106,2.40810387013814,7.17037537819394,494402.083333333,13703.9166666667,27522.9975961538,425335.46875,82770.53125,72930.0709134615,1036240,0.490336215548522,0.413713349622429
"Q2 2013",512643,2.07314960645599,7.17037537819394,497693.666666667,14949.3333333333,27522.9975961538,431818.71875,80824.28125,72930.0709134615,1042016,0.491972292172097,0.413713349622429
"Q3 2013",516792,1.49574999607209,7.17037537819394,500834,15958,27522.9975961538,438146.8125,78645.1875,72930.0709134615,1048424,0.492922710659046,0.413713349622429
"Q4 2013",519640,1.43414022834589,7.17037537819394,503741.75,15898.25,27522.9975961538,444352.28125,75287.71875,72930.0709134615,1060496,0.489997133416816,0.413713349622429
"Q1 2014",517709,1.88995996898285,7.17037537819394,506375.75,11333.25,27522.9975961538,450359.5625,67349.4375,72930.0709134615,1067684,0.484889723925806,0.413713349622429
"Q2 2014",523981,2.21167557149907,7.17037537819394,509250.5,14730.5,27522.9975961538,456265.5625,67715.4375,72930.0709134615,1073324,0.488185300990195,0.413713349622429
"Q3 2014",529690,2.49578166844688,7.17037537819394,512234.416666667,17455.5833333333,27522.9975961538,462093.375,67596.625,72930.0709134615,1091132,0.485449973055506,0.413713349622429
"Q4 2014",535083,2.97186513740282,7.17037537819394,515291.833333333,19791.1666666667,27522.9975961538,467874.59375,67208.40625,72930.0709134615,1094480,0.488892442072948,0.413713349622429
"Q1 2015",533305,3.01250316297379,7.17037537819394,518387.416666667,14917.5833333333,27522.9975961538,473396.65625,59908.34375,72930.0709134615,1123592,0.474642930885944,0.413713349622429
"Q2 2015",540778,3.20565058656707,7.17037537819394,521599.666666667,19178.3333333333,27522.9975961538,478789.21875,61988.78125,72930.0709134615,1129280,0.478869722300935,0.413713349622429
"Q3 2015",545937,3.06726575921766,7.17037537819394,524663.083333333,21273.9166666666,27522.9975961538,484001.03125,61935.96875,72930.0709134615,1134776,0.481096709835245,0.413713349622429
