"Period","Outward Cross-Border Deposits","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Deposits to GDP","Mean_of_Ratio"
"Q3 2017",358815,-6.3786652472721,7.32657503797818,353184.833333333,5630.16666666669,20124.4450757576,287802.875,71012.125,52356.4172585227,2143864,0.167368359186963,0.125551462179631
"Q4 2017",390130,-3.59829203443606,7.32657503797818,360683.25,29446.75,20124.4450757576,293007.53125,97122.46875,52356.4172585227,2181964,0.178797633691482,0.125551462179631
"Q1 2018",377145,0.442362390940759,7.32657503797818,365497.25,11647.75,20124.4450757576,297684.78125,79460.21875,52356.4172585227,2202260,0.171253621279958,0.125551462179631
"Q2 2018",384601,1.29102262581677,7.32657503797818,371811.083333333,12789.9166666667,20124.4450757576,302322.6875,82278.3125,52356.4172585227,2219616,0.173273665354728,0.125551462179631
"Q3 2018",392478,9.38171481125371,7.32657503797818,376631.583333333,15846.4166666667,20124.4450757576,307457.0625,85020.9375,52356.4172585227,2244092,0.174893899180604,0.125551462179631
"Q4 2018",430143,10.2563248148053,7.32657503797818,382310.416666667,47832.5833333333,20124.4450757576,313945.15625,116197.84375,52356.4172585227,2229456,0.192936303744052,0.125551462179631
"Q1 2019",416806,10.5161144917737,7.32657503797818,388850.333333333,27955.6666666667,20124.4450757576,319791.375,97014.625,52356.4172585227,2260360,0.18439806048594,0.125551462179631
"Q2 2019",432891,12.5558695895226,7.32657503797818,393845.5,39045.5,20124.4450757576,325511.75,107379.25,52356.4172585227,2305088,0.187798036343949,0.125551462179631
"Q3 2019",442243,12.6796916005483,7.32657503797818,398760.583333333,43482.4166666667,20124.4450757576,331075.53125,111167.46875,52356.4172585227,2312284,0.191258080754786,0.125551462179631
"Q4 2019",436613,1.5041509451508,7.32657503797818,401420.666666667,35192.3333333333,20124.4450757576,336743.71875,99869.28125,52356.4172585227,2337684,0.186771608138653,0.125551462179631
