"Period","Public NFCs LT Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs LT Debt Securities to GDP","Mean_of_Ratio"
"Q4 2007",4268,55.6528081692195,12.721327452515,3023.08333333333,1244.91666666667,439.486742424242,2674.96875,1593.03125,1129.82173295455,1604508,0.00266000543468777,0.00265899358880886
"Q1 2008",5587,65.1004728132388,12.721327452515,3280,2307,439.486742424242,2802.4375,2784.5625,1129.82173295455,1637296,0.00341233350597571,0.00265899358880886
"Q2 2008",4553,30.9462180040265,12.721327452515,3444.41666666667,1108.58333333333,439.486742424242,2896.40625,1656.59375,1129.82173295455,1677448,0.00271424211063473,0.00265899358880886
"Q3 2008",4814,18.6298669295219,12.721327452515,3630.83333333333,1183.16666666667,439.486742424242,2997.9375,1816.0625,1129.82173295455,1694512,0.00284093591547301,0.00265899358880886
"Q4 2008",4540,6.37300843486411,12.721327452515,3785.83333333333,754.166666666667,439.486742424242,3076.09375,1463.90625,1129.82173295455,1618908,0.00280435948182355,0.00265899358880886
"Q1 2009",4651,-16.7531770180777,12.721327452515,3954.91666666667,696.083333333333,439.486742424242,3157,1494,1129.82173295455,1557232,0.00298670975166192,0.00265899358880886
"Q2 2009",4666,2.48188007906875,12.721327452515,4125.83333333333,540.166666666667,439.486742424242,3232,1434,1129.82173295455,1548488,0.00301326196909501,0.00265899358880886
"Q3 2009",4696,-2.45118404653095,12.721327452515,4286.33333333333,409.666666666667,439.486742424242,3302.5625,1393.4375,1129.82173295455,1567924,0.00299504312709034,0.00265899358880886
"Q4 2009",4814,6.0352422907489,12.721327452515,4459,355,439.486742424242,3377.75,1436.25,1129.82173295455,1611692,0.00298692305974094,0.00265899358880886
"Q1 2010",4811,3.44012040421415,12.721327452515,4577.91666666667,233.083333333333,439.486742424242,3451.125,1359.875,1129.82173295455,1644032,0.00292634206633448,0.00265899358880886
"Q2 2010",4887,4.73639091298757,12.721327452515,4695.41666666667,191.583333333333,439.486742424242,3525.90625,1361.09375,1129.82173295455,1653240,0.00295601364593162,0.00265899358880886
"Q3 2010",4997,6.40971039182283,12.721327452515,4773.66666666667,223.333333333333,439.486742424242,3601.34375,1395.65625,1129.82173295455,1665372,0.00300053081233502,0.00265899358880886
"Q4 2010",4986,3.57291233901122,12.721327452515,4833.5,152.5,439.486742424242,3673.78125,1312.21875,1129.82173295455,1701548,0.00293027290443761,0.00265899358880886
"Q1 2011",5160,7.25420910413635,12.721327452515,4797.91666666667,362.083333333333,439.486742424242,3751.59375,1408.40625,1129.82173295455,1737952,0.0029690118023973,0.00265899358880886
"Q2 2011",5444,11.3975854307346,12.721327452515,4872.16666666667,571.833333333333,439.486742424242,3835.65625,1608.34375,1129.82173295455,1759852,0.00309344194852749,0.00265899358880886
"Q3 2011",5633,12.7276365819492,12.721327452515,4940.41666666667,692.583333333333,439.486742424242,3922.03125,1710.96875,1129.82173295455,1785748,0.00315442044454201,0.00265899358880886
"Q4 2011",5800,16.325711993582,12.721327452515,5045.41666666667,754.583333333333,439.486742424242,4013.78125,1786.21875,1129.82173295455,1812700,0.00319964693551056,0.00265899358880886
"Q1 2012",6059,17.422480620155,12.721327452515,5162.75,896.25,439.486742424242,4112,1947,1129.82173295455,1815120,0.00333807131208956,0.00265899358880886
"Q2 2012",5844,7.34753857457752,12.721327452515,5260.91666666667,583.083333333333,439.486742424242,4190.1875,1653.8125,1129.82173295455,1818984,0.00321278252035202,0.00265899358880886
"Q3 2012",6005,6.60394106160128,12.721327452515,5370,635,439.486742424242,4273.28125,1731.71875,1129.82173295455,1830636,0.00328028073303486,0.00265899358880886
"Q4 2012",6087,4.94827586206897,12.721327452515,5476.08333333333,610.916666666667,439.486742424242,4384.71875,1702.28125,1129.82173295455,1844064,0.00330086157530324,0.00265899358880886
"Q1 2013",6217,2.6076910381251,12.721327452515,5593.25,623.75,439.486742424242,4500.75,1716.25,1129.82173295455,1876844,0.00331247562397301,0.00265899358880886
"Q2 2013",6289,7.61464750171116,12.721327452515,5710.08333333333,578.916666666667,439.486742424242,4616.65625,1672.34375,1129.82173295455,1886592,0.00333352415360608,0.00265899358880886
"Q3 2013",6478,7.87676935886761,12.721327452515,5833.5,644.5,439.486742424242,4738.5625,1739.4375,1129.82173295455,1912428,0.00338731706500846,0.00265899358880886
"Q4 2013",6235,2.43141120420568,12.721327452515,5937.58333333333,297.416666666667,439.486742424242,4849.65625,1385.34375,1129.82173295455,1933124,0.00322534922746808,0.00265899358880886
"Q1 2014",6317,1.60849284220685,12.721327452515,6034,283,439.486742424242,4965.125,1351.875,1129.82173295455,1963452,0.00321729280878779,0.00265899358880886
"Q2 2014",6451,2.5759262203848,12.721327452515,6117.91666666667,333.083333333333,439.486742424242,5085,1366,1129.82173295455,1988404,0.00324431051235061,0.00265899358880886
"Q3 2014",6622,2.22290830503242,12.721327452515,6200.33333333333,421.666666666667,439.486742424242,5205.375,1416.625,1129.82173295455,2013792,0.00328832371962944,0.00265899358880886
"Q4 2014",7450,19.4867682437851,12.721327452515,6337.83333333333,1112.16666666667,439.486742424242,5352.5,2097.5,1129.82173295455,2013944,0.0036992091140568,0.00265899358880886
"Q1 2015",7627,20.7376919423777,12.721327452515,6468.5,1158.5,439.486742424242,5485.09375,2141.90625,1129.82173295455,1984300,0.00384367283172907,0.00265899358880886
"Q2 2015",7394,14.6178886994264,12.721327452515,6597.66666666667,796.333333333333,439.486742424242,5607.5,1786.5,1129.82173295455,1984920,0.00372508715716502,0.00265899358880886
"Q3 2015",7344,10.9030504379342,12.721327452515,6709.25,634.75,439.486742424242,5710.1875,1633.8125,1129.82173295455,2000864,0.00367041438098741,0.00265899358880886
"Q4 2015",7335,-1.54362416107383,12.721327452515,6813.25,521.75,439.486742424242,5806.03125,1528.96875,1129.82173295455,1991680,0.00368282053341902,0.00265899358880886
"Q1 2016",6980,-8.48302084699095,12.721327452515,6876.83333333333,103.166666666667,439.486742424242,5849.5625,1130.4375,1129.82173295455,1998420,0.00349275927983107,0.00265899358880886
"Q2 2016",7065,-4.44955369218285,12.721327452515,6941.5,123.5,439.486742424242,5928.0625,1136.9375,1129.82173295455,2002152,0.00352870311544778,0.00265899358880886
"Q3 2016",7217,-1.72930283224401,12.721327452515,7003.08333333333,213.916666666667,439.486742424242,6003.15625,1213.84375,1129.82173295455,2035420,0.00354570555462755,0.00265899358880886
"Q4 2016",7146,-2.57668711656442,12.721327452515,7079,67,439.486742424242,6084.59375,1061.40625,1129.82173295455,2066148,0.0034586099350095,0.00265899358880886
"Q1 2017",7136,2.23495702005731,12.721327452515,7147.25,-11.25,439.486742424242,6162.25,973.75,1129.82173295455,2107708,0.00338566822349206,0.00265899358880886
"Q2 2017",7241,2.49115357395612,12.721327452515,7213.08333333333,27.916666666667,439.486742424242,6242.71875,998.28125,1129.82173295455,2130892,0.00339810745922365,0.00265899358880886
"Q3 2017",7207,-0.138561729250381,12.721327452515,7261.83333333333,-54.833333333333,439.486742424242,6321.1875,885.8125,1129.82173295455,2143864,0.0033616871219443,0.00265899358880886
"Q4 2017",7869,10.1175482787573,12.721327452515,7296.75,572.25,439.486742424242,6416.65625,1452.34375,1129.82173295455,2181964,0.00360638397333778,0.00265899358880886
"Q1 2018",7965,11.6171524663677,12.721327452515,7324.91666666667,640.083333333333,439.486742424242,6515.21875,1449.78125,1129.82173295455,2202260,0.00361673916794566,0.00265899358880886
"Q2 2018",8056,11.2553514707913,12.721327452515,7380.08333333333,675.916666666667,439.486742424242,6614.25,1441.75,1129.82173295455,2219616,0.00362945662673183,0.00265899358880886
"Q3 2018",8141,12.9596225891494,12.721327452515,7446.5,694.5,439.486742424242,6712.5,1428.5,1129.82173295455,2244092,0.00362774788199414,0.00265899358880886
"Q4 2018",7379,-6.22696657771,12.721327452515,7450.16666666667,-71.166666666667,439.486742424242,6787.28125,591.71875,1129.82173295455,2229456,0.00330977601710911,0.00265899358880886
"Q1 2019",7651,-3.94224733207784,12.721327452515,7506.08333333333,144.916666666667,439.486742424242,6865.125,785.875,1129.82173295455,2260360,0.00338485904900104,0.00265899358880886
"Q2 2019",7735,-3.98460774577954,12.721327452515,7561.91666666667,173.083333333333,439.486742424242,6936.71875,798.28125,1129.82173295455,2305088,0.00335562026265375,0.00265899358880886
"Q3 2019",7824,-3.89387053187569,12.721327452515,7612.5,211.5,439.486742424242,7005.1875,818.8125,1129.82173295455,2312284,0.003383667404177,0.00265899358880886
"Q4 2019",7912,7.22320097574197,12.721327452515,7676.33333333333,235.666666666667,439.486742424242,7071.1875,840.8125,1129.82173295455,2337684,0.00338454641431434,0.00265899358880886
