"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q4 1998",34451,6.03243975254686,4.82760090927788,31942.6666666667,2508.33333333333,3512.28044871795,29435.46875,5015.53125,9045.29567307692,953496,0.0361312475353856,0.036270832949766
"Q1 1999",35736,8.76552227903579,4.82760090927788,32445.8333333333,3290.16666666667,3512.28044871795,29762.40625,5973.59375,9045.29567307692,975240,0.0366432878060785,0.036270832949766
"Q2 1999",36264,8.85513597886774,4.82760090927788,32958.25,3305.75,3512.28044871795,30104.59375,6159.40625,9045.29567307692,994172,0.0364765855405302,0.036270832949766
"Q3 1999",36731,6.98765000582547,4.82760090927788,33477.5,3253.5,3512.28044871795,30450.0625,6280.9375,9045.29567307692,1021308,0.035964664919887,0.036270832949766
"Q4 1999",39979,16.0459783460567,4.82760090927788,34237,5742,3512.28044871795,30881.34375,9097.65625,9045.29567307692,1040988,0.0384048615353875,0.036270832949766
"Q1 2000",38087,6.57880008954556,4.82760090927788,34809.9166666667,3277.08333333334,3512.28044871795,31246.65625,6840.34375,9045.29567307692,1070188,0.035589074069229,0.036270832949766
"Q2 2000",37770,4.15287888815354,4.82760090927788,35325.6666666667,2444.33333333334,3512.28044871795,31609.40625,6160.59375,9045.29567307692,1099448,0.0343536028989093,0.036270832949766
"Q3 2000",37826,2.98113310282867,4.82760090927788,35819.75,2006.25,3512.28044871795,31944.125,5881.875,9045.29567307692,1121768,0.0337199848810093,0.036270832949766
"Q4 2000",38292,-4.21971535055904,4.82760090927788,36303.1666666667,1988.83333333334,3512.28044871795,32285,6007,9045.29567307692,1132880,0.0338005790551515,0.036270832949766
"Q1 2001",38946,2.25536272218867,4.82760090927788,36810.6666666667,2135.33333333334,3512.28044871795,32639.09375,6306.90625,9045.29567307692,1149924,0.0338683252110574,0.036270832949766
"Q2 2001",39580,4.79216309240138,4.82760090927788,37332.8333333333,2247.16666666666,3512.28044871795,32992.90625,6587.09375,9045.29567307692,1152860,0.034332009090436,0.036270832949766
"Q3 2001",39985,5.70771427060752,4.82760090927788,37803.9166666667,2181.08333333334,3512.28044871795,33345.03125,6639.96875,9045.29567307692,1138804,0.0351113975714873,0.036270832949766
