"Period","General Gov External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov External Debt to GDP","Mean_of_Ratio"
"Q1 2012",355218,21.365704992415,3.29079087377488,284623.083333333,70594.9166666667,12842.9725378788,217311.25,137906.75,37160.1484375,1815120,0.195699457887082,0.184148064749742
"Q2 2012",387460,25.6037707713354,3.29079087377488,298954.083333333,88505.9166666667,12842.9725378788,223462.5,163997.5,37160.1484375,1818984,0.213009020420191,0.184148064749742
"Q3 2012",396129,15.152105347306,3.29079087377488,313691.833333333,82437.1666666667,12842.9725378788,230030.46875,166098.53125,37160.1484375,1830636,0.216388730473999,0.184148064749742
"Q4 2012",409057,13.9739317477654,3.29079087377488,328725.833333333,80331.1666666667,12842.9725378788,237044.09375,172012.90625,37160.1484375,1844064,0.221823646033977,0.184148064749742
"Q1 2013",412796,16.2092011103041,3.29079087377488,343440,69356,12842.9725378788,244143.71875,168652.28125,37160.1484375,1876844,0.219941561472344,0.184148064749742
"Q2 2013",403993,4.26702111185671,3.29079087377488,354257.583333333,49735.4166666667,12842.9725378788,250918.5,153074.5,37160.1484375,1886592,0.214139040131624,0.184148064749742
"Q3 2013",401884,1.45280956456104,3.29079087377488,363386.666666667,38497.3333333333,12842.9725378788,257915.8125,143968.1875,37160.1484375,1912428,0.210143336115137,0.184148064749742
"Q4 2013",391569,-4.27519881092366,3.29079087377488,371848.083333333,19720.9166666667,12842.9725378788,264632.21875,126936.78125,37160.1484375,1933124,0.202557621756287,0.184148064749742
"Q1 2014",389713,-5.59186620025388,3.29079087377488,379933.833333333,9779.16666666669,12842.9725378788,271243.8125,118469.1875,37160.1484375,1963452,0.198483589107348,0.184148064749742
"Q2 2014",388317,-3.88026525212071,3.29079087377488,386587.083333333,1729.91666666669,12842.9725378788,277993.9375,110323.0625,37160.1484375,1988404,0.195290796035413,0.184148064749742
"Q3 2014",394442,-1.8517781250311,3.29079087377488,390790.166666667,3651.83333333331,12842.9725378788,284936.53125,109505.46875,37160.1484375,2013792,0.195870278559057,0.184148064749742
"Q4 2014",401505,2.53748381511304,3.29079087377488,394340.25,7164.75,12842.9725378788,291793.6875,109711.3125,37160.1484375,2013944,0.199362544340856,0.184148064749742
"Q1 2015",428598,9.97785549879013,3.29079087377488,400455.25,28142.75,12842.9725378788,299643.9375,128954.0625,37160.1484375,1984300,0.215994557274606,0.184148064749742
"Q2 2015",424347,9.27850184256677,3.29079087377488,403529.166666667,20817.8333333333,12842.9725378788,307893.40625,116453.59375,37160.1484375,1984920,0.213785442234448,0.184148064749742
"Q3 2015",429855,8.97799930027735,3.29079087377488,406339.666666667,23515.3333333333,12842.9725378788,316458.875,113396.125,37160.1484375,2000864,0.214834691413309,0.184148064749742
"Q4 2015",439140,9.37348227294803,3.29079087377488,408846.583333333,30293.4166666667,12842.9725378788,325347.625,113792.375,37160.1484375,1991680,0.220487226863753,0.184148064749742
"Q1 2016",441271,2.9568500086328,3.29079087377488,411219.5,30051.5,12842.9725378788,333969.78125,107301.21875,37160.1484375,1998420,0.220809939852483,0.184148064749742
"Q2 2016",456142,7.49268876650477,3.29079087377488,415565.25,40576.75,12842.9725378788,342963.5625,113178.4375,37160.1484375,2002152,0.227825859375312,0.184148064749742
"Q3 2016",467905,8.85182212606577,3.29079087377488,421067,46838,12842.9725378788,352339.125,115565.875,37160.1484375,2035420,0.229881302139116,0.184148064749742
"Q4 2016",454687,3.54032882452065,3.29079087377488,426326.833333333,28360.1666666667,12842.9725378788,360642.1875,94044.8125,37160.1484375,2066148,0.220065067942858,0.184148064749742
