"Period","Inward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Equity to GDP","Mean_of_Ratio"
"Q4 2015",495191,-5.119646836338,11.5930592704085,495220.083333333,-29.0833333333139,41193.3333333333,431005.46875,64185.53125,102682.268821023,1991680,0.248629799967866,0.231919039581427
"Q1 2016",499383,-12.7402825465887,11.5930592704085,500932.916666667,-1549.91666666669,41193.3333333333,434137.6875,65245.3125,102682.268821023,1998420,0.24988891224067,0.231919039581427
"Q2 2016",537309,-4.6864800045412,11.5930592704085,511905.25,25403.75,41193.3333333333,437328.46875,99980.53125,102682.268821023,2002152,0.268365738465411,0.231919039581427
"Q3 2016",569695,12.6932883901354,11.5930592704085,523677.166666667,46017.8333333333,41193.3333333333,444387.9375,125307.0625,102682.268821023,2035420,0.279890636821884,0.231919039581427
"Q4 2016",622609,25.7310815422736,11.5930592704085,537226.666666667,85382.3333333334,41193.3333333333,455839.75,166769.25,102682.268821023,2066148,0.301338045483673,0.231919039581427
"Q1 2017",672958,34.7578912377874,11.5930592704085,552283.583333333,120674.416666667,41193.3333333333,468968.4375,203989.5625,102682.268821023,2107708,0.319284265182843,0.231919039581427
"Q2 2017",667730,24.2729974744514,11.5930592704085,563730.916666667,103999.083333333,41193.3333333333,480185.875,187544.125,102682.268821023,2130892,0.313357035457452,0.231919039581427
"Q3 2017",692939,21.6333301152371,11.5930592704085,576772.916666667,116166.083333333,41193.3333333333,490730.59375,202208.40625,102682.268821023,2143864,0.32321966318759,0.231919039581427
"Q4 2017",740782,18.9802910012544,11.5930592704085,595012.166666667,145769.833333333,41193.3333333333,502313.6875,238468.3125,102682.268821023,2181964,0.339502393256717,0.231919039581427
"Q1 2018",705532,4.84042094751827,11.5930592704085,606115.25,99416.75,41193.3333333333,512378.21875,193153.78125,102682.268821023,2202260,0.320367259088391,0.231919039581427
"Q2 2018",760569,13.9036736405433,11.5930592704085,622518.666666667,138050.333333333,41193.3333333333,524507.28125,236061.71875,102682.268821023,2219616,0.342657919207647,0.231919039581427
"Q3 2018",751159,8.40189396180616,11.5930592704085,642988,108171,41193.3333333333,535015.09375,216143.90625,102682.268821023,2244092,0.334727364118762,0.231919039581427
"Q4 2018",698293,-5.73569552175944,11.5930592704085,659913.166666667,38379.8333333334,41193.3333333333,542375.15625,155917.84375,102682.268821023,2229456,0.313212281381646,0.231919039581427
"Q1 2019",789383,11.8847904843437,11.5930592704085,684079.833333333,105303.166666667,41193.3333333333,551656.40625,237726.59375,102682.268821023,2260360,0.349228883894601,0.231919039581427
"Q2 2019",784291,3.11898065790218,11.5930592704085,704661.666666667,79629.3333333334,41193.3333333333,561728.25,222562.75,102682.268821023,2305088,0.340243409362246,0.231919039581427
"Q3 2019",790473,5.23377873392983,11.5930592704085,723059.833333333,67413.1666666666,41193.3333333333,573820.46875,216652.53125,102682.268821023,2312284,0.341858093555982,0.231919039581427
"Q4 2019",815327,16.7600133468329,11.5930592704085,739119.666666667,76207.3333333334,41193.3333333333,586274,229053,102682.268821023,2337684,0.348775540235549,0.231919039581427
