"Period","Inward FPI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI to GDP","Mean_of_Ratio"
"Q4 2010",1131152,20.2548507434919,7.06840061475162,919556.083333333,211595.916666667,110232.699810606,819498.34375,311653.65625,279124.223011364,1701548,0.664778190212677,0.685749619958473
"Q1 2011",1169828,21.5177197846431,7.06840061475162,945876.583333333,223951.416666667,110232.699810606,835974.5625,333853.4375,279124.223011364,1737952,0.673107197436983,0.685749619958473
"Q2 2011",1164301,15.72912866766,7.06840061475162,967610.666666667,196690.333333333,110232.699810606,851818.71875,312482.28125,279124.223011364,1759852,0.661590292820078,0.685749619958473
"Q3 2011",1184569,9.11913881504163,7.06840061475162,998394.833333333,186174.166666667,110232.699810606,868411.125,316157.875,279124.223011364,1785748,0.663346116025329,0.685749619958473
"Q4 2011",1211534,7.10620676973563,7.06840061475162,1034923.16666667,176610.833333333,110232.699810606,885070.34375,326463.65625,279124.223011364,1812700,0.668358801787389,0.685749619958473
"Q1 2012",1272480,8.77496520856057,7.06840061475162,1075377.33333333,197102.666666667,110232.699810606,902934.59375,369545.40625,279124.223011364,1815120,0.701044559037419,0.685749619958473
"Q2 2012",1289281,10.7343375982671,7.06840061475162,1110625.33333333,178655.666666667,110232.699810606,921118.03125,368162.96875,279124.223011364,1818984,0.708791831044143,0.685749619958473
"Q3 2012",1344324,13.4863397573295,7.06840061475162,1146867.5,197456.5,110232.699810606,940997.96875,403326.03125,279124.223011364,1830636,0.734348062640525,0.685749619958473
"Q4 2012",1375667,13.5475356036232,7.06840061475162,1183120.66666667,192546.333333333,110232.699810606,961288.125,414378.875,279124.223011364,1844064,0.745997427421174,0.685749619958473
"Q1 2013",1385934,8.91597510373444,7.06840061475162,1218391.75,167542.25,110232.699810606,981546.21875,404387.78125,279124.223011364,1876844,0.738438570280748,0.685749619958473
"Q2 2013",1355045,5.10082751549119,7.06840061475162,1247474.08333333,107570.916666667,110232.699810606,1000368.90625,354676.09375,279124.223011364,1886592,0.718250156896669,0.685749619958473
"Q3 2013",1384978,3.02412216102666,7.06840061475162,1272424.41666667,112553.583333333,110232.699810606,1019746.15625,365231.84375,279124.223011364,1912428,0.724198767221563,0.685749619958473
"Q4 2013",1441282,4.76968626855191,7.06840061475162,1298268.58333333,143013.416666667,110232.699810606,1040923.53125,400358.46875,279124.223011364,1933124,0.745571417043087,0.685749619958473
"Q1 2014",1507787,8.79212141415104,7.06840061475162,1326431.83333333,181355.166666667,110232.699810606,1063136.46875,444650.53125,279124.223011364,1963452,0.767926590515072,0.685749619958473
"Q2 2014",1562611,15.3180152688656,7.06840061475162,1359624.33333333,202986.666666667,110232.699810606,1087500.59375,475110.40625,279124.223011364,1988404,0.785861927455386,0.685749619958473
"Q3 2014",1610716,16.2990314647597,7.06840061475162,1395136.58333333,215579.416666667,110232.699810606,1112727.0625,497988.9375,279124.223011364,2013792,0.799842287584815,0.685749619958473
"Q4 2014",1621647,12.5142061026225,7.06840061475162,1429312.66666667,192334.333333333,110232.699810606,1136462.5625,485184.4375,279124.223011364,2013944,0.805209578816491,0.685749619958473
"Q1 2015",1779101,17.9941861814699,7.06840061475162,1471531.08333333,307569.916666667,110232.699810606,1164726.125,614374.875,279124.223011364,1984300,0.896588721463488,0.685749619958473
"Q2 2015",1770651,13.3136142008472,7.06840061475162,1511645.25,259005.75,110232.699810606,1192817.96875,577833.03125,279124.223011364,1984920,0.89205156882897,0.685749619958473
"Q3 2015",1764736,9.56220711782835,7.06840061475162,1546679.58333333,218056.416666667,110232.699810606,1220951.15625,543784.84375,279124.223011364,2000864,0.881986981623938,0.685749619958473
"Q4 2015",1787825,10.247482960225,7.06840061475162,1581026.08333333,206798.916666667,110232.699810606,1250592.8125,537232.1875,279124.223011364,1991680,0.89764671031491,0.685749619958473
"Q1 2016",1786666,0.425214757340927,7.06840061475162,1614420.41666667,172245.583333333,110232.699810606,1279739.1875,506926.8125,279124.223011364,1998420,0.894039291039922,0.685749619958473
"Q2 2016",1867432,5.46584278889516,7.06840061475162,1657119.33333333,210312.666666667,110232.699810606,1309862.3125,557569.6875,279124.223011364,2002152,0.932712401456033,0.685749619958473
"Q3 2016",1950654,10.5351735330384,7.06840061475162,1704259,246395,110232.699810606,1345346.53125,605307.46875,279124.223011364,2035420,0.958354541077517,0.685749619958473
"Q4 2016",1987536,11.1706123362186,7.06840061475162,1749780.16666667,237755.833333333,110232.699810606,1383294.71875,604241.28125,279124.223011364,2066148,0.96195238676029,0.685749619958473
"Q1 2017",2047051,14.5737927514152,7.06840061475162,1794718.83333333,252332.166666667,110232.699810606,1422670.375,624380.625,279124.223011364,2107708,0.971221345651295,0.685749619958473
"Q2 2017",2065260,10.593585201496,7.06840061475162,1836606.25,228653.75,110232.699810606,1460137.71875,605122.28125,279124.223011364,2130892,0.969199752967302,0.685749619958473
"Q3 2017",2095250,7.41269338385998,7.06840061475162,1876984.08333333,218265.916666667,110232.699810606,1497194.96875,598055.03125,279124.223011364,2143864,0.977324121306202,0.685749619958473
"Q4 2017",2197195,10.5486894325436,7.06840061475162,1924946.41666667,272248.583333333,110232.699810606,1536462.65625,660732.34375,279124.223011364,2181964,1.00698040847603,0.685749619958473
"Q1 2018",2194412,7.19869705249161,7.06840061475162,1959555.66666667,234856.333333333,110232.699810606,1574954.25,619457.75,279124.223011364,2202260,0.996436388074069,0.685749619958473
"Q2 2018",2267050,9.77068262591635,7.06840061475162,2000922.25,266127.75,110232.699810606,1614360.28125,652689.71875,279124.223011364,2219616,1.02137036316192,0.685749619958473
"Q3 2018",2248071,7.29368810404486,7.06840061475162,2041200.16666667,206870.833333333,110232.699810606,1650688.3125,597382.6875,279124.223011364,2244092,1.00177310021158,0.685749619958473
"Q4 2018",2217305,0.915257862866063,7.06840061475162,2076990.16666667,140314.833333333,110232.699810606,1684630.59375,532674.40625,279124.223011364,2229456,0.994549791518649,0.685749619958473
"Q1 2019",2339676,6.61972318780612,7.06840061475162,2123074.33333333,216601.666666667,110232.699810606,1721188.34375,618487.65625,279124.223011364,2260360,1.035089985666,0.685749619958473
"Q2 2019",2347457,3.54676782602942,7.06840061475162,2163076.41666667,184380.583333333,110232.699810606,1758161.96875,589295.03125,279124.223011364,2305088,1.0183806431685,0.685749619958473
"Q3 2019",2364846,5.19445337802943,7.06840061475162,2197592.41666667,167253.583333333,110232.699810606,1795045.625,569800.375,279124.223011364,2312284,1.02273163677126,0.685749619958473
"Q4 2019",2379419,7.31130809699162,7.06840061475162,2230249.33333333,149169.666666667,110232.699810606,1831542.03125,547876.96875,279124.223011364,2337684,1.01785314011646,0.685749619958473
