"Period","Banks Business Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Business Loans to GDP","Mean_of_Ratio"
"Q1 1998",197907,21.9465154969499,6.83265019611559,158563.5,39343.5,23728.1217948718,131135.125,66771.875,56382.4978966346,934612,0.21175311252156,0.183723612692649
"Q2 1998",196330,12.5835789570264,6.83265019611559,164203.833333333,32126.1666666667,23728.1217948718,133970.375,62359.625,56382.4978966346,935212,0.209931010294992,0.183723612692649
"Q3 1998",193451,2.23169932568119,6.83265019611559,169369,24082,23728.1217948718,136673.125,56777.875,56382.4978966346,938872,0.206046191600133,0.183723612692649
"Q4 1998",179564,-8.54436182133034,6.83265019611559,173340,6224,23728.1217948718,138914.25,40649.75,56382.4978966346,953496,0.188321712938492,0.183723612692649
"Q1 1999",179280,-9.41199654383119,6.83265019611559,176790,2490,23728.1217948718,141053.3125,38226.6875,56382.4978966346,975240,0.183831672203765,0.183723612692649
"Q2 1999",178413,-9.12596139153466,6.83265019611559,179745.25,-1332.25,23728.1217948718,143114.1875,35298.8125,56382.4978966346,994172,0.17945888638988,0.183723612692649
"Q3 1999",179494,-7.21474688680855,6.83265019611559,181852.333333333,-2358.33333333334,23728.1217948718,145279.03125,34214.96875,56382.4978966346,1021308,0.175749137380692,0.183723612692649
"Q4 1999",183884,2.4058274487091,6.83265019611559,184213.916666667,-329.916666666657,23728.1217948718,147503.84375,36380.15625,56382.4978966346,1040988,0.176643726920964,0.183723612692649
"Q1 2000",181234,1.08991521642124,6.83265019611559,185792.583333333,-4558.58333333334,23728.1217948718,149498.59375,31735.40625,56382.4978966346,1070188,0.169347815524001,0.183723612692649
"Q2 2000",184563,3.44705823006171,6.83265019611559,186640.666666667,-2077.66666666666,23728.1217948718,151811.65625,32751.34375,56382.4978966346,1099448,0.16786878506305,0.183723612692649
"Q3 2000",192069,7.00580520797353,6.83265019611559,186877.416666667,5191.58333333334,23728.1217948718,154339.0625,37729.9375,56382.4978966346,1121768,0.171219895736017,0.183723612692649
"Q4 2000",193318,5.13040830088534,6.83265019611559,186625.583333333,6692.41666666666,23728.1217948718,156811.46875,36506.53125,56382.4978966346,1132880,0.17064296306758,0.183723612692649
"Q1 2001",194387,7.2574682454727,6.83265019611559,186332.25,8054.75,23728.1217948718,159215.4375,35171.5625,56382.4978966346,1149924,0.169043345473266,0.183723612692649
