"Period","Fed Gov Interest to Foreigners","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest to Foreigners to Revenue","Mean_of_Ratio"
"Q2 2017",872,-5.11425462459195,-1.75313656927428,917.583333333333,-45.5833333333334,-48.436553030303,893.375,-21.375,-124.068181818182,80819,0.0107895420631287,0.0161281486456186
"Q3 2017",882,-5.05920344456405,-1.75313656927428,914.583333333333,-32.5833333333334,-48.436553030303,904.5625,-22.5625,-124.068181818182,76363,0.0115500962508021,0.0161281486456186
"Q4 2017",978,6.76855895196507,-1.75313656927428,919.166666666667,58.8333333333334,-48.436553030303,917.34375,60.65625,-124.068181818182,77681,0.0125899512107208,0.0161281486456186
"Q1 2018",959,10.4838709677419,-1.75313656927428,923.75,35.25,-48.436553030303,926.15625,32.84375,-124.068181818182,86807,0.0110474961696637,0.0161281486456186
"Q2 2018",915,4.93119266055046,-1.75313656927428,922.083333333333,-7.08333333333337,-48.436553030303,930.53125,-15.53125,-124.068181818182,81512,0.0112253410540779,0.0161281486456186
"Q3 2018",943,6.91609977324263,-1.75313656927428,921.166666666667,21.8333333333334,-48.436553030303,932.96875,10.03125,-124.068181818182,81623,0.0115531161559854,0.0161281486456186
"Q4 2018",927,-5.21472392638037,-1.75313656927428,919.583333333333,7.41666666666663,-48.436553030303,934.65625,-7.65625,-124.068181818182,82604,0.0112222168417994,0.0161281486456186
"Q1 2019",919,-4.17101147028154,-1.75313656927428,918.916666666667,0.0833333333333712,-48.436553030303,935.4375,-16.4375,-124.068181818182,90242,0.0101837281975134,0.0161281486456186
"Q2 2019",908,-0.765027322404372,-1.75313656927428,918,-10,-48.436553030303,935.59375,-27.59375,-124.068181818182,85357,0.0106376747074054,0.0161281486456186
"Q3 2019",869,-7.84729586426299,-1.75313656927428,913,-44,-48.436553030303,934.625,-65.625,-124.068181818182,83629,0.0103911322627318,0.0161281486456186
"Q4 2019",864,-6.79611650485437,-1.75313656927428,908.666666666667,-44.6666666666666,-48.436553030303,933.46875,-69.46875,-124.068181818182,84524,0.0102219487956083,0.0161281486456186
