"Period","Payments Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Payments Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q2 1998",15465,0.736060448150078,4.58713488731415,14877.5833333333,587.416666666666,1286.76799242424,12130.40625,3334.59375,3172.24822443182,935212,0.0165363575317682,0.0138480630675787
"Q3 1998",15629,-6.82604030046501,4.58713488731415,14973.3333333333,655.666666666666,1286.76799242424,12296.78125,3332.21875,3172.24822443182,938872,0.0166465716306376,0.0138480630675787
"Q4 1998",16316,4.75089881869543,4.58713488731415,15148.75,1167.25,1286.76799242424,12484.75,3831.25,3172.24822443182,953496,0.0171117655449,0.0138480630675787
"Q1 1999",15847,2.41049502391108,4.58713488731415,15348.25,498.75,1286.76799242424,12696.84375,3150.15625,3172.24822443182,975240,0.0162493334973955,0.0138480630675787
"Q2 1999",16658,7.71419333979955,4.58713488731415,15569.8333333333,1088.16666666667,1286.76799242424,12950.28125,3707.71875,3172.24822443182,994172,0.0167556519395034,0.0138480630675787
"Q3 1999",17274,10.5253055217864,4.58713488731415,15784.75,1489.25,1286.76799242424,13194.90625,4079.09375,3172.24822443182,1021308,0.0169136049066491,0.0138480630675787
"Q4 1999",17376,6.49669036528561,4.58713488731415,16065.1666666667,1310.83333333333,1286.76799242424,13476.3125,3899.6875,3172.24822443182,1040988,0.0166918350643811,0.0138480630675787
"Q1 2000",15899,0.328137817883511,4.58713488731415,16136.6666666667,-237.666666666666,1286.76799242424,13688.21875,2210.78125,3172.24822443182,1070188,0.014856268244458,0.0138480630675787
"Q2 2000",17982,7.94813302917517,4.58713488731415,16355.8333333333,1626.16666666667,1286.76799242424,13968.1875,4013.8125,3172.24822443182,1099448,0.0163554802046118,0.0138480630675787
"Q3 2000",17991,4.15074678707885,4.58713488731415,16457.25,1533.75,1286.76799242424,14258.9375,3732.0625,3172.24822443182,1121768,0.0160380756092169,0.0138480630675787
"Q4 2000",18741,7.85566298342541,4.58713488731415,16721,2020,1286.76799242424,14572.09375,4168.90625,3172.24822443182,1132880,0.0165427935880234,0.0138480630675787
"Q1 2001",18202,14.4851877476571,4.58713488731415,16948.3333333333,1253.66666666667,1286.76799242424,14829.0625,3372.9375,3172.24822443182,1149924,0.0158288721689433,0.0138480630675787
"Q2 2001",17915,-0.372594817039262,4.58713488731415,17152.5,762.5,1286.76799242424,15062.4375,2852.5625,3172.24822443182,1152860,0.0155396145238797,0.0138480630675787
"Q3 2001",15219,-15.407703851926,4.58713488731415,17118.3333333333,-1899.33333333333,1286.76799242424,15223.65625,-4.65625,3172.24822443182,1138804,0.0133640204986986,0.0138480630675787
"Q4 2001",14616,-22.0105650712342,4.58713488731415,16976.6666666667,-2360.66666666667,1286.76799242424,15343.1875,-727.1875,3172.24822443182,1136584,0.0128595862690307,0.0138480630675787
"Q1 2002",14678,-19.3605098340842,4.58713488731415,16879.25,-2201.25,1286.76799242424,15487.03125,-809.03125,3172.24822443182,1158640,0.0126683007664158,0.0138480630675787
"Q2 2002",13886,-22.4895339101312,4.58713488731415,16648.25,-2762.25,1286.76799242424,15545.875,-1659.875,3172.24822443182,1185892,0.0117093293487097,0.0138480630675787
"Q3 2002",15797,3.79788422366778,4.58713488731415,16525.1666666667,-728.166666666668,1286.76799242424,15644.5625,152.4375,3172.24822443182,1204144,0.0131188628602559,0.0138480630675787
"Q4 2002",17414,19.1434044882321,4.58713488731415,16528.3333333333,885.666666666668,1286.76799242424,15781.3125,1632.6875,3172.24822443182,1226100,0.014202756708262,0.0138480630675787
"Q1 2003",16248,10.696280147159,4.58713488731415,16557.4166666667,-309.416666666668,1286.76799242424,15852.8125,395.1875,3172.24822443182,1250088,0.0129974849770576,0.0138480630675787
