"Period","Income Cross-Border Financial Asset","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Income Cross-Border Financial Asset to GDP","Mean_of_Ratio"
"Q3 2015",22697,11.6538764266037,8.79394507192908,20398.75,2298.25,1711.61363636364,17862.09375,4834.90625,4051.07421875,2000864,0.0113435995649879,0.00982547485180916
"Q4 2015",23011,7.90115352152302,8.79394507192908,20812.4166666667,2198.58333333333,1711.61363636364,17957.40625,5053.59375,4051.07421875,1991680,0.0115535628213368,0.00982547485180916
"Q1 2016",22226,-1.07268438153737,8.79394507192908,21196.25,1029.75,1711.61363636364,18060.96875,4165.03125,4051.07421875,1998420,0.0111217862111068,0.00982547485180916
"Q2 2016",23240,2.74093722369584,8.79394507192908,21708.5833333333,1531.41666666667,1711.61363636364,18205.5,5034.5,4051.07421875,2002152,0.0116075103188969,0.00982547485180916
"Q3 2016",24794,9.23910648984447,8.79394507192908,22146.9166666667,2647.08333333333,1711.61363636364,18460.375,6333.625,4051.07421875,2035420,0.0121812697133761,0.00982547485180916
"Q4 2016",25934,12.7026204858546,8.79394507192908,22628.25,3305.75,1711.61363636364,18826.03125,7107.96875,4051.07421875,2066148,0.0125518597893278,0.00982547485180916
"Q1 2017",26828,20.7054800683884,8.79394507192908,23116,3712,1711.61363636364,19232,7596,4051.07421875,2107708,0.012728518371615,0.00982547485180916
"Q2 2017",27952,20.2753872633391,8.79394507192908,23618.5833333333,4333.41666666667,1711.61363636364,19653.09375,8298.90625,4051.07421875,2130892,0.0131175113520535,0.00982547485180916
"Q3 2017",29340,18.3350810680003,8.79394507192908,24369.5833333333,4970.41666666667,1711.61363636364,20156.5,9183.5,4051.07421875,2143864,0.0136855696070273,0.00982547485180916
"Q4 2017",31457,21.2963677026298,8.79394507192908,25213.8333333333,6243.16666666667,1711.61363636364,20722.0625,10734.9375,4051.07421875,2181964,0.0144168281419858,0.00982547485180916
"Q1 2018",30464,13.5530043238408,8.79394507192908,25880.25,4583.75,1711.61363636364,21214.34375,9249.65625,4051.07421875,2202260,0.013833062399535,0.00982547485180916
"Q2 2018",31707,13.4337435603892,8.79394507192908,26637.5,5069.5,1711.61363636364,21744.375,9962.625,4051.07421875,2219616,0.0142849033346309,0.00982547485180916
"Q3 2018",33513,14.2229038854806,8.79394507192908,27538.8333333333,5974.16666666667,1711.61363636364,22330.375,11182.625,4051.07421875,2244092,0.0149338797161614,0.00982547485180916
"Q4 2018",35326,12.2993292430937,8.79394507192908,28565.0833333333,6760.91666666667,1711.61363636364,22889.96875,12436.03125,4051.07421875,2229456,0.0158451209622437,0.00982547485180916
"Q1 2019",35538,16.655724789916,8.79394507192908,29674.4166666667,5863.58333333333,1711.61363636364,23484.9375,12053.0625,4051.07421875,2260360,0.0157222743279832,0.00982547485180916
"Q2 2019",36879,16.3118554262466,8.79394507192908,30811,6068,1711.61363636364,24101.78125,12777.21875,4051.07421875,2305088,0.015998955354416,0.00982547485180916
"Q3 2019",36422,8.68021364843494,8.79394507192908,31780,4642,1711.61363636364,24687.6875,11734.3125,4051.07421875,2312284,0.0157515253316634,0.00982547485180916
"Q4 2019",38388,8.66783672082885,8.79394507192908,32817.8333333333,5570.16666666666,1711.61363636364,25359.09375,13028.90625,4051.07421875,2337684,0.0164213811618679,0.00982547485180916
